0.00.284.782 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.285.025 W srv  llama_server: -----------------
0.00.285.026 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.285.027 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.285.027 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.285.027 W srv  llama_server: -----------------
0.00.286.276 I srv    load_model: loading model '/home/ryanneely1000/models/flash-next-udq3/Qwen3.8-Flash-Next-UD-Q3_K_XL-00001-of-00003.gguf'
0.00.985.146 E llama_init_from_model: failed to initialize the context: qwen4exp requires ctx_other to be set (this warning is normal during memory fitting)
0.01.027.809 W operator(): failed to measure the memory of the extra model, fitting without it: failed to create llama_context from model
0.09.832.645 I cmn          init: llama threadpool init, n_threads = 20
0.09.946.241 I common_speculative_init_result: loading draft model '/home/ryanneely1000/models/flash-next-udq3/mtp-Qwen3.8-Flash-Next-shared-Q8_0.gguf'
0.12.992.149 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.13.044.521 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.13.044.551 I srv  llama_server: model loaded
0.13.044.554 I srv  llama_server: listening on http://0.0.0.0:8898
1.14.503.082 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.09.458.241 I slot print_timing: id  0 | task 696 | n_gen =    118, tg =  38.38 t/s, tg_3s =  38.71 t/s
2.11.884.270 I slot print_timing: id  0 | task 696 | prompt eval time =      92.94 ms /     4 tokens (   23.24 ms per token,    43.04 tokens per second)
2.11.884.273 I slot print_timing: id  0 | task 696 |        eval time =    5474.44 ms /   193 tokens (   28.51 ms per token,    35.07 tokens per second)
2.11.884.274 I slot print_timing: id  0 | task 696 |       total time =    5567.39 ms /   197 tokens
2.11.884.274 I slot print_timing: id  0 | task 696 |    graphs reused =        714
2.11.884.277 I slot print_timing: id  0 | task 696 | draft acceptance = 0.43651 (  110 accepted /   252 generated), mean len =  2.31
2.11.884.313 I slot      release: id  0 | task 696 | stop processing: n_tokens = 521, truncated = 0
2.12.098.064 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.628
2.12.098.117 I slot launch_slot_: id  0 | task 782 | processing task, is_child = 0
2.15.256.601 I slot print_timing: id  0 | task 782 | n_gen =    118, tg =  38.36 t/s, tg_3s =  38.69 t/s
2.17.664.281 I slot print_timing: id  0 | task 782 | prompt eval time =     108.69 ms /     4 tokens (   27.17 ms per token,    36.80 tokens per second)
2.17.664.284 I slot print_timing: id  0 | task 782 |        eval time =    5457.35 ms /   193 tokens (   28.42 ms per token,    35.18 tokens per second)
2.17.664.285 I slot print_timing: id  0 | task 782 |       total time =    5566.05 ms /   197 tokens
2.17.664.285 I slot print_timing: id  0 | task 782 |    graphs reused =        796
2.17.664.288 I slot print_timing: id  0 | task 782 | draft acceptance = 0.43651 (  110 accepted /   252 generated), mean len =  2.31
2.17.664.328 I slot      release: id  0 | task 782 | stop processing: n_tokens = 521, truncated = 0
2.17.871.409 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.628
2.17.871.465 I slot launch_slot_: id  0 | task 868 | processing task, is_child = 0
2.21.031.478 I slot print_timing: id  0 | task 868 | n_gen =    118, tg =  38.38 t/s, tg_3s =  38.71 t/s
2.23.417.492 I slot print_timing: id  0 | task 868 | prompt eval time =     111.24 ms /     4 tokens (   27.81 ms per token,    35.96 tokens per second)
2.23.417.496 I slot print_timing: id  0 | task 868 |        eval time =    5434.67 ms /   193 tokens (   28.31 ms per token,    35.33 tokens per second)
2.23.417.496 I slot print_timing: id  0 | task 868 |       total time =    5545.91 ms /   197 tokens
2.23.417.497 I slot print_timing: id  0 | task 868 |    graphs reused =        878
2.23.417.499 I slot print_timing: id  0 | task 868 | draft acceptance = 0.43651 (  110 accepted /   252 generated), mean len =  2.31
2.23.417.537 I slot      release: id  0 | task 868 | stop processing: n_tokens = 521, truncated = 0
2.23.643.386 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 94251071676
2.23.643.443 I slot launch_slot_: id  3 | task 954 | processing task, is_child = 0
2.27.120.508 I slot print_timing: id  3 | task 954 | n_gen =    106, tg =  34.83 t/s, tg_3s =  35.16 t/s
2.30.166.368 I slot print_timing: id  3 | task 954 | n_gen =    223, tg =  36.63 t/s, tg_3s =  38.41 t/s
2.33.189.133 I slot print_timing: id  3 | task 954 | n_gen =    321, tg =  35.23 t/s, tg_3s =  32.42 t/s
2.36.190.370 I slot print_timing: id  3 | task 954 | n_gen =    465, tg =  38.40 t/s, tg_3s =  47.98 t/s
2.39.269.883 I slot print_timing: id  3 | task 954 | n_gen =    569, tg =  37.46 t/s, tg_3s =  33.77 t/s
2.40.140.166 I slot print_timing: id  3 | task 954 | prompt eval time =     320.44 ms /    78 tokens (    4.11 ms per token,   243.42 tokens per second)
2.40.140.174 I slot print_timing: id  3 | task 954 |        eval time =   16034.34 ms /   600 tokens (   26.77 ms per token,    37.36 tokens per second)
2.40.140.174 I slot print_timing: id  3 | task 954 |       total time =   16354.78 ms /   678 tokens
2.40.140.175 I slot print_timing: id  3 | task 954 |    graphs reused =       1087
2.40.140.178 I slot print_timing: id  3 | task 954 | draft acceptance = 0.60597 (  386 accepted /   637 generated), mean len =  2.81
2.40.140.208 I slot      release: id  3 | task 954 | stop processing: n_tokens = 677, truncated = 0
3.02.054.516 I srv    operator(): operator(): cleaning up before exit...
